seed,gate,encoding,stiffness,size,fitness_gen_100
17,XOR,size,True,True,1.2245021656253314
18,XOR,size,True,True,1.3534098858070147
19,XOR,size,True,True,1.2058393815338808
20,XOR,size,True,True,4.19316445952535
21,XOR,size,True,True,0.5217367234533741
22,XOR,size,True,True,0.5215033144696609
23,XOR,size,True,True,0.8093025035338495
24,XOR,size,True,True,0.6791168558728626
25,XOR,size,True,True,1.0934874401265107
26,XOR,size,True,True,0.8336679840860772
27,XOR,size,True,True,1.368763507105373
28,XOR,size,True,True,1.3168393356256993
29,XOR,size,True,True,0.5166776082442255
